KO	FunkFam	CS	Pathway	Description	KODescription	KOCount	FunkFamCount
K02707	5_37069	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	329
K02707	5_37069	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	329
K02716	5_37069	Low	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	329
K02717	5_37069	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	329
K02095	5_37328	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	232
K02095	5_37328	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	232
K02629	5_37328	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	232
K02629	5_37328	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	232
K02720	5_37401	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	187
K02092	5_37723	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	222
K02092	5_37723	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	222
K02095	5_37723	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	222
K02095	5_37723	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	222
K02290	5_37723	Low	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	222
K02290	5_37723	Low	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	222
K02720	5_37723	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	222
K11522	5_37723	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	222
K02092	5_37851	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	230
K02092	5_37851	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	230
K02093	5_37851	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	230
K02093	5_37851	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	230
K02095	5_37851	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	230
K02095	5_37851	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	230
K02097	5_37851	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	230
K02097	5_37851	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	230
K11522	5_37851	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	230
K02092	5_37883	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	161
K02092	5_37883	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	161
K02093	5_37883	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	161
K02093	5_37883	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	161
K02095	5_37883	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	161
K02095	5_37883	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	161
K02097	5_37883	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	161
K02097	5_37883	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	161
K02720	5_37883	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	161
K02719	5_38219	Low	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	281
K02720	5_38219	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	281
K02720	5_38527	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	90
K02092	5_38544	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	271
K02092	5_38544	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	271
K02093	5_38544	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	271
K02093	5_38544	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	271
K02095	5_38544	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	271
K02095	5_38544	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	271
K02097	5_38544	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	271
K02097	5_38544	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	271
K08904	5_38544	Low	map00195	Photosynthesis	psb28-2; photosystem II Psb28-2 protein	163	271
K11522	5_38544	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	271
K11524	5_38544	High	map02020	Two-component system	pixI; positive phototaxis protein PixI	209	271
K11525	5_38544	High	map02020	Two-component system	pixJ; methyl-accepting chemotaxis protein PixJ	213	271
K11526	5_38544	High	map02020	Two-component system	pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL	217	271
K02092	5_39262	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	232
K02092	5_39262	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	232
K02093	5_39262	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	232
K02093	5_39262	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	232
K02094	5_39262	Low	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	232
K02094	5_39262	Low	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	232
K02095	5_39262	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	232
K02095	5_39262	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	232
K02097	5_39262	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	232
K02097	5_39262	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	232
K02286	5_39262	Low	map00196	Photosynthesis - antenna proteins	cpcC; phycocyanin-associated rod linker protein	337	232
K02286	5_39262	Low	map01100	Metabolic pathways	cpcC; phycocyanin-associated rod linker protein	337	232
K02290	5_39262	Low	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	232
K02290	5_39262	Low	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	232
K02629	5_39262	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	232
K02629	5_39262	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	232
K02719	5_39262	Low	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	232
K02720	5_39262	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	232
K05378	5_39262	Low	map00196	Photosynthesis - antenna proteins	cpeC, mpeC; phycoerythrin-associated linker protein	344	232
K05378	5_39262	Low	map01100	Metabolic pathways	cpeC, mpeC; phycoerythrin-associated linker protein	344	232
K02285	5_39492	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	157
K02285	5_39492	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	157
K02092	5_39624	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	296
K02092	5_39624	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	296
K02093	5_39624	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	296
K02093	5_39624	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	296
K02094	5_39624	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	296
K02094	5_39624	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	296
K02095	5_39624	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	296
K02095	5_39624	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	296
K02096	5_39624	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	296
K02096	5_39624	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	296
K02097	5_39624	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	296
K02097	5_39624	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	296
K02284	5_39624	Low	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	296
K02284	5_39624	Low	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	296
K02287	5_39624	Low	map00196	Photosynthesis - antenna proteins	cpcD; phycocyanin-associated, rod	251	296
K02287	5_39624	Low	map01100	Metabolic pathways	cpcD; phycocyanin-associated, rod	251	296
K02629	5_39624	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	296
K02629	5_39624	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	296
K02719	5_39624	High	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	296
K02720	5_39624	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	296
K08903	5_39624	Low	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	296
K02092	5_39675	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	207
K02092	5_39675	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	207
K02093	5_39675	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	207
K02093	5_39675	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	207
K02095	5_39675	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	207
K02095	5_39675	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	207
K02096	5_39675	Low	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	207
K02096	5_39675	Low	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	207
K02097	5_39675	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	207
K02097	5_39675	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	207
K02290	5_39675	Low	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	207
K02290	5_39675	Low	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	207
K02720	5_39675	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	207
K09834	5_39675	Low	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	207
K09834	5_39675	Low	map01100	Metabolic pathways	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	207
K09834	5_39675	Low	map01110	Biosynthesis of secondary metabolites	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	207
K11522	5_39779	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	258
K11525	5_39779	Low	map02020	Two-component system	pixJ; methyl-accepting chemotaxis protein PixJ	213	258
K11526	5_39779	High	map02020	Two-component system	pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL	217	258
K02093	5_40075	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	200
K02093	5_40075	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	200
K02097	5_40075	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	200
K02097	5_40075	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	200
K02093	5_40151	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	247
K02093	5_40151	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	247
K02097	5_40151	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	247
K02097	5_40151	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	247
K09834	5_40151	Low	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	247
K09834	5_40151	Low	map01100	Metabolic pathways	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	247
K09834	5_40151	Low	map01110	Biosynthesis of secondary metabolites	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	247
K11522	5_40151	Low	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	247
K11524	5_40151	Low	map02020	Two-component system	pixI; positive phototaxis protein PixI	209	247
K07678	5_40415	Low	map02020	Two-component system	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	328
K07678	5_40415	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	328
K07678	5_40415	Low	map02026	Biofilm formation - Escherichia coli	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	328
K07678	5_40415	Low	map05111	Biofilm formation - Vibrio cholerae	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	5008	328
K02285	5_40570	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	330
K02285	5_40570	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	330
K02690	5_40570	Low	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	330
K02690	5_40570	Low	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	330
K02698	5_40570	Low	map00195	Photosynthesis	psaK; photosystem I subunit X	402	330
K02705	5_40570	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	330
K02705	5_40570	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	330
K02707	5_40570	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	330
K02707	5_40570	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	330
K02716	5_40570	Low	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	330
K02717	5_40570	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	330
K08903	5_40570	Low	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	330
K00114	5_41131	Low	map00010	Glycolysis / Gluconeogenesis	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	3338	798
K00114	5_41131	Low	map00625	Chloroalkane and chloroalkene degradation	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	3338	798
K00114	5_41131	Low	map01100	Metabolic pathways	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	3338	798
K00114	5_41131	Low	map01110	Biosynthesis of secondary metabolites	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	3338	798
K00114	5_41131	Low	map01120	Microbial metabolism in diverse environments	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	3338	798
K00114	5_41131	Low	map01130	Biosynthesis of antibiotics	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	3338	798
K14028	5_41131	High	map00010	Glycolysis / Gluconeogenesis	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map00625	Chloroalkane and chloroalkene degradation	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map00680	Methane metabolism	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map01100	Metabolic pathways	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map01110	Biosynthesis of secondary metabolites	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map01120	Microbial metabolism in diverse environments	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map01130	Biosynthesis of antibiotics	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K14028	5_41131	High	map01200	Carbon metabolism	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	798
K16254	5_41131	High	map00680	Methane metabolism	mxaJ; mxaJ protein	947	798
K16254	5_41131	High	map01120	Microbial metabolism in diverse environments	mxaJ; mxaJ protein	947	798
K02285	5_41160	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	409
K02285	5_41160	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	409
K02629	5_41160	Low	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	409
K02629	5_41160	Low	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	409
K02634	5_41160	Low	map00195	Photosynthesis	petA; apocytochrome f	402	409
K02634	5_41160	Low	map01100	Metabolic pathways	petA; apocytochrome f	402	409
K02643	5_41160	High	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	409
K02643	5_41160	High	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	409
K02705	5_41160	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	409
K02705	5_41160	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	409
K02707	5_41160	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	409
K02707	5_41160	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	409
K02708	5_41160	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	409
K02708	5_41160	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	409
K02711	5_41160	Low	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	409
K02713	5_41160	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	409
K02714	5_41160	High	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	409
K02716	5_41160	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	409
K02717	5_41160	Low	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	409
K05369	5_41160	Low	map00860	Porphyrin and chlorophyll metabolism	pebA; 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]	208	409
K05369	5_41160	Low	map01110	Biosynthesis of secondary metabolites	pebA; 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]	208	409
K05370	5_41160	High	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	409
K05370	5_41160	High	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	409
K05377	5_41160	Low	map00196	Photosynthesis - antenna proteins	cpeB, mpeB; phycoerythrin beta chain	208	409
K05377	5_41160	Low	map01100	Metabolic pathways	cpeB, mpeB; phycoerythrin beta chain	208	409
K05583	5_41160	High	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	409
K05583	5_41160	High	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	409
K05585	5_41160	Low	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	409
K05585	5_41160	Low	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	409
K08902	5_41160	Low	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	409
K08903	5_41160	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	409
K02092	5_41624	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	347
K02092	5_41624	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	347
K02093	5_41624	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	347
K02093	5_41624	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	347
K02094	5_41624	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	347
K02094	5_41624	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	347
K02095	5_41624	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	347
K02095	5_41624	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	347
K02096	5_41624	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	347
K02096	5_41624	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	347
K02097	5_41624	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	347
K02097	5_41624	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	347
K02284	5_41624	High	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	347
K02284	5_41624	High	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	347
K02288	5_41624	High	map00196	Photosynthesis - antenna proteins	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	347
K02288	5_41624	High	map01100	Metabolic pathways	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	347
K02628	5_41624	High	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	347
K02628	5_41624	High	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	347
K02629	5_41624	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	347
K02629	5_41624	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	347
K02631	5_41624	Low	map00196	Photosynthesis - antenna proteins	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	347
K02631	5_41624	Low	map01100	Metabolic pathways	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	347
K02693	5_41624	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	347
K02693	5_41624	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	347
K02704	5_41624	Low	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	347
K02704	5_41624	Low	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	347
K02707	5_41624	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	347
K02707	5_41624	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	347
K02708	5_41624	Low	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	347
K02708	5_41624	Low	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	347
K02713	5_41624	High	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	347
K02092	5_41806	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	203
K02092	5_41806	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	203
K02093	5_41806	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	203
K02093	5_41806	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	203
K02094	5_41806	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	203
K02094	5_41806	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	203
K02095	5_41806	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	203
K02095	5_41806	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	203
K02097	5_41806	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	203
K02097	5_41806	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	203
K02290	5_41806	Low	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	203
K02290	5_41806	Low	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	203
K02719	5_41806	Low	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	203
K02093	5_42067	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	221
K02093	5_42067	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	221
K02095	5_42067	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	221
K02095	5_42067	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	221
K02097	5_42067	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	221
K02097	5_42067	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	221
K02720	5_42067	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	221
K11522	5_42067	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	221
K11522	5_42122	Low	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	216
K02586	5_42371	Low	map00625	Chloroalkane and chloroalkene degradation	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	381
K02586	5_42371	Low	map00910	Nitrogen metabolism	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	381
K02586	5_42371	Low	map01100	Metabolic pathways	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	381
K02586	5_42371	Low	map01120	Microbial metabolism in diverse environments	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	381
K02591	5_42371	Low	map00625	Chloroalkane and chloroalkene degradation	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	381
K02591	5_42371	Low	map00910	Nitrogen metabolism	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	381
K02591	5_42371	Low	map01100	Metabolic pathways	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	381
K02591	5_42371	Low	map01120	Microbial metabolism in diverse environments	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	381
K02093	5_43613	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	198
K02093	5_43613	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	198
K02097	5_43613	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	198
K02097	5_43613	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	198
K02290	5_43613	Low	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	198
K02290	5_43613	Low	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	198
K02720	5_43613	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	198
K02092	5_45588	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	256
K02092	5_45588	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	256
K02093	5_45588	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	256
K02093	5_45588	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	256
K02094	5_45588	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	256
K02094	5_45588	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	256
K02095	5_45588	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	256
K02095	5_45588	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	256
